2026-08-30 16:47:07 +0200 Assertions          	Kernel Idle sleep preventers: IODisplayWrangler          
2026-08-30 16:47:07 +0200 Assertions          	PID 232(mDNSResponder) Created MaintenanceWake "mDNSResponder:maintenance" 00:00:00  id:0x0xd00008720 [System: No Assertions]          
2026-08-30 16:47:08 +0200 Assertions          	PID 232(mDNSResponder) Released MaintenanceWake "mDNSResponder:maintenance" 00:00:00  id:0x0xd00008720 [System: No Assertions]          
2026-08-30 16:47:09 +0200 Wake                	Wake from Deep Idle [CDNVA] : due to EC.KeyboardTouchpad/User Using BATT (Charge:98%) 216 secs  
2026-08-30 16:47:09 +0200 WakeTime            	WakeTime: 1.735 sec                                                        	          
2026-08-30 16:47:09 +0200 Kernel Client Acks  	Delays to Sleep notifications: [AppleIntelFramebuffer driver is slow(msg: SetState to 1)(784 ms)] [DSB1 driver is slow(msg: SetState to 2)(659 ms)] [DSB4 driver is slow(msg: SetState to 2)(656 ms)] [DSB0 driver is slow(msg: SetState to 2)(656 ms)] [AppleHPMIECS driver is slow(msg: WillChangeState to 2)(814 ms)] [AppleUSBVHCIBCE driver is slow(msg: SetState to 1)(304 ms)] [RP09 driver is slow(msg: SetState to 0)(1020 ms)] 
2026-08-30 16:47:09 +0200 Kernel Client Acks  	Delays to Wake notifications: [RP01 driver is slow(msg: SetState to 2)(631 ms)] [UPSB driver is slow(msg: SetState to 2)(941 ms)] [ADIO driver is slow(msg: SetState to 2)(320 ms)] [IGPU driver is slow(msg: SetState to 2)(954 ms)] [HDEF driver is slow(msg: SetState to 2)(961 ms)] [AppleIntelFramebuffer driver is slow(msg: SetState to 2)(340 ms)] [XHC2 driver is slow(msg: SetState to 2)(653 ms)] [IOUSBMassStorageDriverNub driver is slow(msg: SetState to 1)(1674 ms)]           
2026-08-30 16:50:30 +0200 Assertions          	Kernel Idle sleep preventers: -None-          
2026-08-30 16:50:30 +0200 Assertions          	PID 0(kernel_task) Released Idle Sleep Preventer "IODisplayWrangler"  id:0x0x0 [System: No Assertions]          
2026-08-30 16:50:30 +0200 Assertions          	PID 119(powerd) Created InternalPreventSleep "com.apple.powermanagement.darkwakelinger" 00:00:00  id:0x0xd0000873c [System: SRPrevSleep kCPU]          
2026-08-30 16:50:45 +0200 Assertions          	PID 119(powerd) TimedOut InternalPreventSleep "com.apple.powermanagement.darkwakelinger" 00:00:15  id:0x0xd0000873c [System: SRPrevSleep kCPU]          
2026-08-30 16:50:45 +0200 Sleep               	Entering Sleep state due to 'Idle Sleep':TCPKeepAlive=active Using Batt (Charge:97%) 1268 secs 
2026-08-30 16:50:47 +0200 Wake Requests       	[*process=mDNSResponder request=Maintenance deltaSecs=7198 wakeAt=2026-08-30 18:50:45 info="upkeep wake"] [process=powerd request=TCPKATurnOff deltaSecs=43258 wakeAt=2026-08-31 04:51:45] [process=powerd request=CSPNEvaluation deltaSecs=7243 wakeAt=2026-08-30 18:51:30] [process=powerd request=UserWake deltaSecs=28297 wakeAt=2026-08-31 00:42:24 info="com.apple.alarm.user-invisible-com.apple.calaccessd.travelEngine.periodicRefreshTimer,514"]           
2026-08-30 16:50:47 +0200 PM Client Acks      	Delays to Sleep notifications: [com.apple.bluetooth.sleep is slow(1573 ms)] [com.apple.apsd is slow(1970 ms)]           
2026-08-30 17:11:51 +0200 Assertions          	Kernel Idle sleep preventers: IODisplayWrangler          
2026-08-30 17:11:51 +0200 Assertions          	PID 232(mDNSResponder) Created MaintenanceWake "mDNSResponder:maintenance" 00:00:00  id:0x0xd00008745 [System: No Assertions]          
2026-08-30 17:11:51 +0200 Assertions          	PID 232(mDNSResponder) Released MaintenanceWake "mDNSResponder:maintenance" 00:00:00  id:0x0xd00008745 [System: No Assertions]          
2026-08-30 17:11:53 +0200 Wake                	Wake from Deep Idle [CDNVA] : due to EC.KeyboardTouchpad/User Using BATT (Charge:97%)           
2026-08-30 17:11:53 +0200 WakeTime            	WakeTime: 1.753 sec                                                        	          
2026-08-30 17:11:53 +0200 Kernel Client Acks  	Delays to Sleep notifications: [AppleIntelFramebuffer driver is slow(msg: SetState to 1)(563 ms)] [DSB1 driver is slow(msg: SetState to 2)(660 ms)] [DSB4 driver is slow(msg: SetState to 2)(657 ms)] [DSB0 driver is slow(msg: SetState to 2)(657 ms)] [AppleHPMIECS driver is slow(msg: WillChangeState to 2)(815 ms)] [AppleUSBVHCIBCE driver is slow(msg: SetState to 1)(309 ms)] [IOSCSIPeripheralDeviceType00 driver is slow(msg: SetState to 0)(504 ms)] [IOUSBMassStorageInterfaceNub driver is slow(msg: SetState to 0)(510 ms)] [RP09 driver is slow(msg: SetState to 0)(1025 ms)] 
2026-08-30 17:11:53 +0200 Kernel Client Acks  	Delays to Wake notifications: [RP01 driver is slow(msg: SetState to 2)(729 ms)] [UPSB driver is slow(msg: SetState to 2)(940 ms)] [IGPU driver is slow(msg: SetState to 2)(953 ms)] [HDEF driver is slow(msg: SetState to 2)(961 ms)] [AppleIntelFramebuffer driver is slow(msg: SetState to 2)(337 ms)] [XHC2 driver is slow(msg: SetState to 2)(654 ms)] [IOUSBMassStorageDriverNub driver is slow(msg: SetState to 1)(1677 ms)]           
