epoch,t_rel,en0_opkts,en0_oerrs,en7_opkts,en7_oerrs
1788068961.780,0.049,0,0,2,0
1788068962.027,0.296,0,0,4,0
1788068962.273,0.542,0,0,7,0
1788068962.522,0.791,0,0,9,0
1788068962.754,1.023,0,0,17,0
1788068963.056,1.325,0,0,24,0
1788068963.312,1.581,0,0,27,0
1788068963.640,1.909,0,0,34,0
1788068963.892,2.161,0,0,57,0
1788068964.151,2.420,0,0,67,0
1788068964.402,2.671,1,0,72,0
1788068964.677,2.946,1,0,109,0
1788068964.927,3.196,1,0,194,0
1788068965.256,3.525,1,0,203,0
1788068965.529,3.798,1,0,209,0
1788068965.800,4.069,1,0,225,0
1788068966.066,4.335,1,0,269,0
1788068966.351,4.620,1,0,279,0
1788068966.685,4.955,1,0,295,0
1788068966.947,5.216,1,0,319,0
1788068967.197,5.466,1,0,329,0
1788068967.485,5.754,1,0,365,0
1788068967.804,6.073,1,0,382,0
1788068968.064,6.333,1,0,738,0
1788068968.303,6.572,1,0,748,0
1788068968.611,6.880,2,0,762,0
1788068968.871,7.140,2,0,774,0
1788068969.131,7.400,2,0,788,0
1788068969.379,7.648,3,0,796,0
1788068969.647,7.916,3,0,811,0
1788068969.898,8.167,3,0,821,0
1788068970.148,8.417,3,0,835,0
1788068970.406,8.675,3,0,843,0
1788068970.656,8.925,7,0,854,0
1788068970.974,9.243,7,0,895,0
1788068971.226,9.495,7,0,900,0
1788068971.531,9.800,7,0,902,0
1788068971.921,10.190,7,0,907,0
1788068972.178,10.447,7,0,911,0
1788068972.538,10.807,7,0,915,0
1788068972.847,11.116,7,0,935,0
1788068973.110,11.379,7,0,938,0
1788068973.424,11.693,8,0,938,0
1788068973.677,11.946,8,0,938,0
1788068973.940,12.209,8,0,941,0
1788068974.194,12.463,8,0,943,0
1788068974.445,12.714,8,0,955,0
1788068974.795,13.064,8,0,963,0
1788068975.110,13.379,8,0,980,0
1788068975.403,13.672,8,0,992,0
1788068975.692,13.961,8,0,1004,0
1788068975.986,14.255,8,0,1047,0
1788068976.256,14.525,8,0,1070,0
1788068976.564,14.833,8,0,1082,0
1788068976.890,15.159,8,0,1097,0
1788068977.175,15.444,8,0,1110,0
1788068977.443,15.712,8,0,1121,0
1788068977.723,15.992,8,0,1131,0
1788068978.022,16.291,8,0,1149,0
1788068978.395,16.664,8,0,1165,0
1788068978.653,16.922,8,0,1175,0
1788068978.965,17.234,8,0,1187,0
1788068979.244,17.513,8,0,1209,0
1788068979.515,17.784,8,0,1497,0
1788068979.896,18.165,9,0,1567,0
1788068980.156,18.425,9,0,1580,0
1788068980.526,18.795,9,0,1586,0
1788068980.797,19.066,9,0,1592,0
1788068981.057,19.326,9,0,1592,0
1788068981.348,19.617,9,0,1604,0
1788068981.647,19.916,9,0,1608,0
1788068981.903,20.172,9,0,1612,0
1788068982.158,20.427,9,0,1613,0
1788068982.414,20.683,9,0,1615,0
1788068982.693,20.962,9,0,1617,0
1788068982.948,21.217,9,0,1619,0
1788068983.211,21.480,9,0,1808,0
1788068983.462,21.731,9,0,1819,0
1788068983.714,21.983,9,0,1830,0
1788068983.974,22.243,9,0,1851,0
1788068984.295,22.564,9,0,1863,0
1788068984.641,22.910,9,0,1885,0
1788068985.686,23.955,9,0,1940,0
1788068985.960,24.229,9,0,1973,0
1788068986.223,24.492,9,0,2022,0
1788068986.475,24.744,9,0,2033,0
1788068986.724,24.993,9,0,2045,0
1788068986.981,25.250,10,0,2055,0
1788068987.246,25.515,10,0,2065,0
1788068987.520,25.789,10,0,2076,0
1788068987.774,26.043,10,0,2087,0
1788068988.043,26.312,10,0,2099,0
1788068988.337,26.606,10,0,2108,0
1788068988.730,26.999,10,0,2111,0
1788068989.014,27.283,10,0,2115,0
1788068989.403,27.672,10,0,2123,0
1788068989.654,27.923,10,0,2191,0
1788068989.928,28.197,10,0,2195,0
1788068990.179,28.448,10,0,2197,0
1788068990.453,28.722,10,0,2199,0
1788068990.834,29.103,10,0,2215,0
1788068991.119,29.388,10,0,2218,0
1788068991.426,29.695,10,0,2218,0
1788068991.732,30.001,10,0,2225,0
1788068991.999,30.268,10,0,2237,0
1788068992.352,30.621,10,0,2611,0
1788068992.619,30.888,11,0,2631,0
1788068992.887,31.156,11,0,2655,0
1788068993.197,31.466,11,0,2675,0
1788068993.462,31.731,11,0,2691,0
1788068993.712,31.981,11,0,2705,0
1788068993.978,32.247,11,0,2714,0
1788068994.278,32.547,11,0,2746,0
1788068994.556,32.825,15,0,2768,0
1788068994.831,33.100,15,0,2790,0
1788068995.091,33.360,15,0,2802,0
1788068995.444,33.713,15,0,2817,0
1788068995.828,34.097,15,0,2838,0
1788068996.099,34.368,15,0,2853,0
1788068996.392,34.661,15,0,3212,0
1788068996.672,34.941,15,0,3223,0
1788068996.949,35.218,15,0,3229,0
1788068997.293,35.562,15,0,3232,0
1788068997.788,36.057,16,0,3234,0
1788068998.063,36.332,16,0,3237,0
1788068998.318,36.587,16,0,3237,0
1788068998.621,36.890,16,0,3239,0
1788068998.877,37.146,16,0,3240,0
1788068999.155,37.424,16,0,3242,0
1788068999.406,37.675,16,0,3244,0
1788068999.680,37.949,17,0,3244,0
1788068999.995,38.264,17,0,3245,0
1788069000.297,38.566,17,0,3245,0
1788069000.576,38.845,17,0,3255,0
1788069000.831,39.100,18,0,3267,0
1788069001.149,39.418,18,0,3280,0
1788069001.420,39.689,18,0,3291,0
1788069001.715,39.984,18,0,3303,0
1788069002.012,40.281,18,0,3318,0
1788069002.320,40.589,18,0,3330,0
1788069002.645,40.914,18,0,3344,0
1788069002.938,41.207,18,0,3356,0
1788069003.192,41.461,18,0,3370,0
1788069003.455,41.724,18,0,3382,0
1788069003.722,41.991,18,0,3392,0
1788069004.040,42.309,18,0,3409,0
1788069004.346,42.615,18,0,3422,0
1788069004.613,42.882,18,0,3434,0
1788069004.895,43.164,18,0,3447,0
1788069005.181,43.450,18,0,3462,0
1788069005.446,43.715,18,0,3481,0
1788069005.782,44.051,18,0,3484,0
1788069006.065,44.334,18,0,3489,0
1788069006.351,44.620,18,0,3492,0
1788069006.640,44.909,18,0,3839,0
1788069006.955,45.224,18,0,3852,0
1788069007.327,45.596,18,0,3867,0
1788069007.580,45.849,18,0,3875,0
1788069007.959,46.228,18,0,3882,0
1788069008.247,46.516,18,0,3884,0
1788069008.508,46.777,18,0,3884,0
1788069008.863,47.132,18,0,3884,0
1788069009.146,47.415,18,0,3895,0
1788069009.547,47.816,18,0,3910,0
1788069009.812,48.081,18,0,3944,0
1788069010.094,48.363,18,0,3956,0
1788069010.452,48.721,19,0,3966,0
1788069010.832,49.101,19,0,3984,0
1788069011.161,49.430,19,0,3997,0
1788069011.528,49.797,19,0,4009,0
1788069011.797,50.066,28,0,4023,0
1788069012.080,50.349,28,0,4036,0
1788069012.425,50.694,28,0,4046,0
1788069012.779,51.048,28,0,4060,0
1788069013.076,51.345,28,0,4090,0
1788069013.460,51.729,28,0,4120,0
1788069013.738,52.007,28,0,4139,0
1788069014.009,52.278,28,0,4153,0
1788069014.261,52.530,28,0,4157,0
1788069014.532,52.801,28,0,4163,0
1788069014.828,53.097,28,0,4164,0
1788069015.147,53.416,29,0,4166,0
1788069015.415,53.684,29,0,4169,0
1788069015.714,53.983,29,0,4170,0
1788069015.994,54.263,30,0,4173,0
1788069016.282,54.551,30,0,4173,0
1788069016.648,54.917,30,0,4188,0
1788069016.920,55.189,30,0,4194,0
1788069017.256,55.525,30,0,4196,0
1788069017.553,55.822,30,0,4198,0
1788069017.826,56.095,30,0,4206,0
1788069018.195,56.464,30,0,4589,0
1788069018.465,56.734,31,0,4601,0
1788069018.833,57.102,35,0,4612,0
1788069019.107,57.376,35,0,4644,0
1788069019.379,57.648,35,0,4657,0
1788069019.645,57.914,35,0,4668,0
1788069019.896,58.165,35,0,4679,0
1788069020.181,58.450,35,0,4690,0
1788069020.438,58.707,35,0,4703,0
1788069020.779,59.048,35,0,4715,0
1788069021.086,59.355,35,0,4884,0
1788069021.370,59.639,35,0,4895,0
1788069021.628,59.897,35,0,4904,0
1788069021.893,60.162,35,0,4916,0
1788069022.244,60.513,35,0,4928,0
1788069022.508,60.777,35,0,4962,0
1788069022.762,61.031,35,0,4971,0
1788069023.032,61.301,35,0,4976,0
1788069023.415,61.684,35,0,4990,0
1788069023.723,61.992,35,0,4992,0
1788069024.072,62.341,35,0,4996,0
1788069024.434,62.704,35,0,5001,0
1788069024.725,62.994,35,0,5004,0
1788069024.988,63.257,35,0,5039,0
1788069025.253,63.522,35,0,5079,0
1788069025.662,63.931,35,0,5079,0
1788069025.973,64.242,35,0,5082,0
1788069026.236,64.505,35,0,5089,0
1788069026.488,64.757,35,0,5102,0
1788069026.745,65.014,36,0,5122,0
1788069027.003,65.272,36,0,5132,0
1788069027.349,65.618,36,0,5150,0
1788069027.613,65.882,36,0,5160,0
1788069027.885,66.154,36,0,5197,0
1788069028.160,66.429,37,0,5253,0
1788069028.415,66.684,37,0,5270,0
1788069028.685,66.954,37,0,5291,0
1788069028.962,67.231,37,0,5307,0
1788069029.373,67.642,37,0,5323,0
1788069029.691,67.960,37,0,5346,0
1788069030.024,68.293,37,0,5372,0
1788069030.363,68.632,37,0,5425,0
1788069030.631,68.900,37,0,5437,0
1788069031.020,69.289,37,0,5451,0
1788069031.285,69.554,37,0,5479,0
1788069031.539,69.808,37,0,5491,0
1788069031.792,70.061,37,0,5501,0
1788069032.085,70.354,37,0,5516,0
1788069032.477,70.746,37,0,5520,0
1788069032.740,71.009,37,0,5534,0
1788069033.013,71.282,37,0,5546,0
1788069033.278,71.547,37,0,5549,0
1788069033.545,71.814,37,0,5556,0
1788069033.844,72.113,37,0,5559,0
1788069034.128,72.397,37,0,5574,0
1788069034.408,72.677,37,0,5579,0
1788069034.705,72.974,37,0,5594,0
1788069034.977,73.246,37,0,5614,0
1788069035.279,73.548,37,0,5634,0
1788069035.543,73.812,37,0,5647,0
1788069035.808,74.077,37,0,5659,0
1788069036.107,74.376,37,0,5684,0
1788069036.422,74.691,37,0,5712,0
1788069036.699,74.968,37,0,6082,0
1788069037.038,75.307,37,0,6101,0
1788069037.552,75.821,38,0,6131,0
1788069037.803,76.072,38,0,6143,0
1788069038.053,76.322,38,0,6161,0
1788069038.295,76.564,38,0,6184,0
1788069038.569,76.838,41,0,6200,0
1788069038.830,77.099,41,0,6230,0
1788069039.074,77.343,42,0,6302,0
1788069039.313,77.582,42,0,6316,0
1788069039.558,77.827,42,0,6352,0
1788069039.794,78.063,42,0,6371,0
1788069040.042,78.311,42,0,6379,0
1788069040.280,78.549,42,0,6389,0
1788069040.542,78.811,42,0,6391,0
1788069040.781,79.050,42,0,6396,0
1788069041.075,79.344,42,0,6396,0
1788069041.311,79.580,42,0,6397,0
1788069041.553,79.822,42,0,6400,0
1788069041.783,80.052,42,0,6402,0
1788069042.037,80.306,42,0,6415,0
1788069042.463,80.732,43,0,6419,0
1788069042.713,80.982,45,0,6424,0
1788069042.956,81.225,45,0,6427,0
1788069043.197,81.466,47,0,6429,0
1788069043.489,81.758,47,0,6429,0
1788069043.757,82.026,47,0,6429,0
1788069044.190,82.459,47,0,6512,0
1788069044.575,82.844,47,0,6522,0
1788069044.871,83.140,47,0,6562,0
1788069045.123,83.392,47,0,6575,0
1788069045.383,83.652,47,0,6585,0
1788069045.785,84.054,47,0,6599,0
1788069046.091,84.360,47,0,6641,0
1788069046.392,84.661,47,0,6706,0
1788069046.626,84.895,47,0,6732,0
1788069046.858,85.127,47,0,6742,0
1788069047.117,85.386,47,0,6753,0
1788069047.353,85.622,47,0,6763,0
1788069047.606,85.875,48,0,6771,0
1788069047.850,86.119,48,0,6781,0
1788069048.116,86.385,49,0,6880,0
1788069048.343,86.612,49,0,6905,0
1788069048.573,86.842,49,0,6913,0
1788069048.807,87.076,53,0,6922,0
1788069049.044,87.313,54,0,6932,0
1788069049.277,87.546,54,0,6935,0
1788069049.585,87.854,54,0,6958,0
1788069049.822,88.091,54,0,6996,0
1788069050.057,88.326,54,0,6998,0
1788069050.320,88.589,54,0,7002,0
1788069050.591,88.860,54,0,7004,0
1788069050.835,89.104,54,0,7006,0
1788069051.113,89.382,54,0,7007,0
1788069051.381,89.650,54,0,7013,0
1788069051.625,89.894,54,0,7024,0
1788069051.862,90.131,54,0,7027,0
1788069052.091,90.360,54,0,7031,0
1788069052.322,90.591,54,0,7031,0
1788069052.550,90.819,54,0,7036,0
1788069052.790,91.059,54,0,7044,0
1788069053.050,91.319,54,0,7068,0
1788069053.295,91.564,54,0,7106,0
1788069053.522,91.791,54,0,7118,0
1788069053.749,92.018,54,0,7126,0
1788069053.980,92.249,54,0,7138,0
1788069054.209,92.478,54,0,7147,0
1788069054.457,92.726,54,0,7155,0
1788069054.696,92.965,54,0,7168,0
1788069054.933,93.202,54,0,7178,0
1788069055.168,93.437,54,0,7188,0
1788069055.399,93.668,54,0,7198,0
1788069055.716,93.985,54,0,7208,0
1788069056.075,94.344,54,0,7233,0
1788069056.406,94.675,54,0,7254,0
1788069056.665,94.934,55,0,7264,0
1788069056.915,95.184,55,0,7276,0
1788069057.157,95.426,55,0,7286,0
1788069057.405,95.674,55,0,7294,0
1788069057.665,95.934,55,0,7305,0
1788069057.909,96.178,55,0,7305,0
1788069058.172,96.441,55,0,7311,0
1788069058.445,96.714,55,0,7342,0
1788069058.714,96.983,55,0,7343,0
1788069058.979,97.248,55,0,7357,0
1788069059.304,97.574,55,0,7357,0
1788069059.689,97.958,55,0,7358,0
1788069060.017,98.286,55,0,7358,0
1788069060.263,98.532,55,0,7360,0
1788069060.510,98.779,55,0,7362,0
1788069060.772,99.041,55,0,7378,0
1788069061.073,99.342,55,0,7383,0
1788069061.327,99.596,55,0,7398,0
1788069061.577,99.846,55,0,7410,0
1788069061.856,100.125,55,0,7422,0
1788069062.159,100.428,55,0,7435,0
1788069062.466,100.735,55,0,7449,0
1788069062.719,100.988,55,0,7462,0
1788069062.973,101.242,55,0,7473,0
1788069063.225,101.494,55,0,7484,0
1788069063.497,101.766,55,0,7498,0
1788069063.782,102.051,55,0,7511,0
1788069064.024,102.293,55,0,7523,0
1788069064.264,102.533,55,0,7540,0
1788069064.523,102.792,55,0,7559,0
1788069064.776,103.045,55,0,7618,0
1788069065.026,103.295,55,0,7630,0
1788069065.273,103.542,55,0,7641,0
1788069065.515,103.784,55,0,7663,0
1788069065.780,104.049,55,0,7679,0
1788069066.076,104.345,55,0,7704,0
1788069066.320,104.589,55,0,7732,0
1788069066.560,104.829,55,0,7732,0
1788069066.808,105.077,59,0,7734,0
1788069067.050,105.319,59,0,7736,0
1788069067.291,105.560,59,0,7736,0
1788069067.532,105.801,59,0,7738,0
1788069067.792,106.061,59,0,7739,0
1788069068.048,106.317,59,0,7748,0
1788069068.378,106.647,59,0,7751,0
1788069068.764,107.034,60,0,7751,0
1788069069.024,107.293,60,0,7756,0
1788069069.262,107.531,60,0,7756,0
1788069069.523,107.792,60,0,7769,0
1788069069.807,108.076,60,0,7772,0
1788069070.155,108.424,60,0,7793,0
1788069070.481,108.750,60,0,7835,0
1788069070.759,109.028,60,0,7854,0
1788069071.017,109.286,60,0,7864,0
1788069071.294,109.563,60,0,7880,0
