epoch,t_rel,en0_opkts,en0_oerrs,en7_opkts,en7_oerrs
1788069205.033,0.051,0,0,0,0
1788069205.262,0.280,0,0,6,0
1788069205.493,0.511,0,0,7,0
1788069205.725,0.742,0,0,7,0
1788069205.949,0.967,1,0,8,0
1788069206.179,1.197,1,0,8,0
1788069206.433,1.451,1,0,176,0
1788069206.660,1.678,2,0,186,0
1788069206.892,1.910,2,0,195,0
1788069207.111,2.128,2,0,203,0
1788069207.340,2.358,2,0,213,0
1788069207.562,2.580,2,0,223,0
1788069207.925,2.943,2,0,234,0
1788069208.247,3.264,2,0,249,0
1788069208.488,3.506,2,0,257,0
1788069208.724,3.742,2,0,281,0
1788069208.985,4.002,2,0,293,0
1788069209.226,4.244,2,0,304,0
1788069209.460,4.478,2,0,312,0
1788069209.698,4.716,2,0,323,0
1788069209.931,4.949,2,0,333,0
1788069210.160,5.177,2,0,341,0
1788069210.394,5.412,2,0,351,0
1788069210.634,5.651,6,0,361,0
1788069210.869,5.887,6,0,371,0
1788069211.098,6.116,6,0,381,0
1788069211.332,6.350,6,0,385,0
1788069211.561,6.579,6,0,385,0
1788069211.796,6.814,6,0,386,0
1788069212.027,7.045,6,0,390,0
1788069212.252,7.270,6,0,390,0
1788069212.486,7.503,6,0,392,0
1788069212.710,7.728,6,0,393,0
1788069212.939,7.957,6,0,393,0
1788069213.169,8.187,6,0,396,0
1788069213.456,8.474,6,0,396,0
1788069213.691,8.709,6,0,401,0
1788069213.928,8.946,6,0,402,0
1788069214.158,9.176,6,0,404,0
1788069214.394,9.412,6,0,405,0
1788069214.708,9.725,6,0,410,0
1788069214.951,9.969,6,0,522,0
1788069215.198,10.216,6,0,535,0
1788069215.452,10.470,6,0,545,0
1788069215.701,10.718,7,0,555,0
1788069215.931,10.949,7,0,563,0
1788069216.160,11.178,8,0,573,0
1788069216.395,11.413,8,0,586,0
1788069216.632,11.649,8,0,929,0
1788069216.869,11.887,8,0,971,0
1788069217.174,12.192,8,0,981,0
1788069217.401,12.418,8,0,1008,0
1788069217.640,12.658,8,0,1017,0
1788069217.872,12.890,8,0,1027,0
1788069218.103,13.121,8,0,1070,0
1788069218.335,13.353,8,0,1081,0
1788069218.563,13.581,8,0,1091,0
1788069218.793,13.811,8,0,1099,0
1788069219.026,14.044,8,0,1109,0
1788069219.256,14.274,8,0,1121,0
1788069219.491,14.509,8,0,1133,0
1788069219.727,14.745,8,0,1136,0
1788069219.959,14.976,8,0,1137,0
1788069220.194,15.212,8,0,1137,0
1788069220.429,15.447,8,0,1137,0
1788069220.659,15.677,8,0,1143,0
1788069220.895,15.912,8,0,1146,0
1788069221.130,16.148,8,0,1148,0
1788069221.393,16.411,8,0,1149,0
